centroid_town,centroid_x,centroid_y,centroid_lat,centroid_lon
Duxbury,264767.35483468184,866551.9369332955,42.04668776789951,-70.71765681939854
Boston,233812.81796158353,896249.524235262,42.316000047166874,-71.08983203867227
Concord,211196.3887342512,912390.9533985916,42.46196830005442,-71.36386824941572
Windsor,73172.57650821796,919266.9985499395,42.51362028524855,-73.04338217550887
Taunton,233660.54374341376,850445.9276383143,41.90363326146825,-71.09432176898973
Wareham,266366.6328427176,835737.4984455154,41.76913144643873,-70.7018228055326
North Brookfield,152321.62352958333,891164.4911689954,42.26949764676209,-72.07794241223961
Charlton,161306.9590791027,876179.0065173769,42.13508088486084,-71.96803069733542
Randolph,236850.7195328682,880919.0860403114,42.17784472388798,-71.05395376107566
Sheffield,46163.88453827437,874081.3644710119,42.10204970191245,-73.35997078924296
Newburyport,249467.68567472833,951444.1084300048,42.812030553097074,-70.8951877925376
Maynard,203612.07031661927,908431.3256234949,42.42639341059687,-71.45610723607837
Lancaster,185131.85085333613,914589.7439981014,42.48170155043703,-71.68083156002531
Dighton,228576.5365611556,842967.0349166328,41.83649931747426,-71.15595726675217
Athol,141085.98717689217,926198.2598223002,42.58411650580279,-72.21770470191267
Cheshire,64420.97263247382,925011.5792861455,42.56385083374383,-73.15120917061645
Essex,259105.0491657008,931526.8492685251,42.6320693218701,-70.77941977638702
Ware,135306.97053642842,892537.464662814,42.2806348317935,-72.28433166758057
Nantucket,319525.40460461675,781942.834173536,41.278588347001616,-70.07340692915255
Tewksbury,222332.19778002764,929087.5453946048,42.612037054799536,-71.22782597037843
Egremont,39769.19088234025,881800.9898846085,42.17025140054122,-73.4393821796119
Deerfield,108817.90666472932,919644.4070309305,42.52200796355413,-72.60972699903844
Conway,100851.19383308361,918211.891677539,42.5081392990477,-72.70642648090093
Dalton,64066.09154106638,915649.6413714229,42.47952466156132,-73.1533203839287
Wellesley,217690.19579170895,894891.5950843322,42.30430639703424,-71.28544849009704
Needham,221355.87556938585,892354.0696830458,42.281369773562105,-71.24108379739631
Petersham,140689.07013472758,912377.8571259939,42.45967373768314,-72.22111645279489
Reading,232402.4736498598,920575.007120782,42.53505104455363,-71.10557553665059
Quincy,239580.36438590332,889002.1846928643,42.250482813198715,-71.02036427024836
Chesterfield,89287.96311392296,904915.2910929121,42.38689213560645,-72.84455369260354
Southborough,197554.29110840918,894522.0312550691,42.301175728166214,-71.52966072590462
Milford,198448.36278268875,878453.5574543076,42.15651322136706,-71.5187748348287
Boylston,181773.5415283675,900671.1411236807,42.35632622659956,-71.72123723236146
Plainville,213550.55302242708,862649.341461342,42.014108780740244,-71.3364050681094
New Bedford,246291.61816135174,824706.8635074227,41.671254695760915,-70.9441169173721
Marblehead,252274.18429615558,916688.8492685676,42.49898625579001,-70.86404381338356
Longmeadow,111262.48519314958,866909.1701796972,42.04755814043506,-72.5719133756642
Granville,83456.84109868965,871103.3071269242,42.08167515244151,-72.9085771696843
Webster,171152.45481985473,866910.745862431,42.05206189235118,-71.848483190863
Southbridge,155820.3241010194,867919.6872854187,42.060431648480275,-72.03377018013487
Salisbury,252154.13343804335,955603.2116112257,42.84929167790522,-70.86196300242264
Amherst,117063.2179678595,902039.9104507389,42.364454805561415,-72.50685866402317
Aquinnah,258206.66482866337,787793.5676848758,41.338128158688114,-70.80465679750515
Chilmark,264582.8463342296,789485.7510393768,41.35286935255871,-70.72830729934468
Chelsea,238478.9136251518,905213.9605271826,42.39648782577682,-71.03263497537424
Newton,224030.08837191798,897942.2138430243,42.331601247378224,-71.20843059371849
Ipswich,253633.58562627563,937206.0089919054,42.683588799566174,-70.84559127474515
Cohasset,256125.52031411434,887433.3206596504,42.23534611966238,-70.8200285041541
Auburn,171483.30388096502,883033.6249612445,42.197229951554974,-71.84527492768802
Chicopee,111446.38364427374,881216.4211558426,42.17637975071487,-72.57186387453196
Hamilton,252669.59511503938,930875.2664586264,42.62666661626621,-70.85793437573346
Plymouth,272136.1387106561,847811.5644136943,41.87732705447149,-70.63095935650095
Barre,150115.31056778636,907909.530057215,42.420108557027646,-72.10612814496403
Bolton,191172.90441998508,909520.9154868971,42.436160979393534,-71.6072807476591
Warwick,131104.02300955745,936616.4236079474,42.677077553376755,-72.34055076433377
Falmouth,275670.1924198229,816337.8222563937,41.593637321375596,-70.59242131163111
Hubbardston,158468.84925105484,914929.195681839,42.48379225075276,-72.00513548672569
Fairhaven,252332.257297301,821240.9239007537,41.63967231345065,-70.87188813537968
Sandwich,284468.1241867546,829726.6109158789,41.71328320613846,-70.48499864601847
Marshfield,264897.52847880014,873946.8405910528,42.11325227038621,-70.7152627210782
Goshen,92520.52011380301,911040.619445435,42.44248199681201,-72.80644110345696
Dunstable,199955.41040794688,936203.0441503107,42.67641222694468,-71.50054399131126
Savoy,75291.62654876662,928411.0542470859,42.59626738834329,-73.01958283555021
Arlington,227662.04739032369,907625.693578489,42.41865831004261,-71.16389962145966
Hardwick,141091.1809529819,900722.1853394873,42.35477561146493,-72.21503977066489
Mount Washington,37356.6629214741,873379.3830650038,42.093952886268255,-73.46622305844674
Ashby,173509.91592031842,936267.7500178386,42.67654295046741,-71.82317945333065
Hull,250927.30164299643,893195.3121650022,42.287575582087406,-70.88249824980068
Northborough,187948.01519205316,896971.8076936257,42.3231415922388,-71.64621316538522
Acushnet,249835.58643435428,829479.7556777025,41.714010540987424,-70.90115889159952
Marion,261172.95938525785,829046.2980076963,41.709309888506546,-70.76497622118065
Burlington,224437.7277824896,916888.0061714998,42.502150095771995,-71.202683247711
Hawley,84548.99539979952,926986.4159968167,42.58487370795992,-72.90651600136391
Lawrence,227643.87693540895,938904.8535483875,42.70024169088815,-71.16261714252151
Ludlow,120868.57824190342,882851.0953522085,42.19210521161829,-72.4580488628312
Norfolk,214097.3315348453,874002.5916635494,42.11631515547679,-71.32952992670802
Whitman,246342.88494778573,870106.5432749183,42.07999517601357,-70.93992159929084
Clarksburg,68232.87481901354,943028.430506038,42.7266663535603,-73.10893390956217
Paxton,164300.271917076,895696.0941669608,42.3109336823951,-71.93302274771243
